study_name,seed,regime,n_assets,budget,execution_mode,execution_billing_mode,noise_model,depolarizing_strength_1q,depolarizing_strength_2q,measurement_error,transpile_topology,p_layers,evaluation_budget,n_init_points,shots,cvar_alpha,invalid_penalty,method,metric_name,xy_metric,product_x_metric,mixer_delta,better_mixer,constraint_hardness,penalty_doublings_xy,penalty_doublings_product_x
factorial,1,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,bayesian_optimization,best_raw_objective,-0.4939831639940917,-0.4580415426651684,0.03594162132892331,xy,0.234375,0.0,0.0
factorial,2,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,bayesian_optimization,best_raw_objective,-0.5198301787415209,-0.39757958968662854,0.12225058905489239,xy,0.234375,0.0,0.0
factorial,1,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,classical_markowitz,best_raw_objective,-0.49398316399409165,-0.49398316399409165,0.0,tie,0.234375,0.0,0.0
factorial,2,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,classical_markowitz,best_raw_objective,-0.5198301787415209,-0.5198301787415209,0.0,tie,0.234375,0.0,0.0
factorial,1,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,random,best_raw_objective,-0.4939831639940917,-0.4268910818252793,0.0670920821688124,xy,0.234375,0.0,0.0
factorial,2,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,random,best_raw_objective,-0.5198301787415209,-0.4735453683584358,0.04628481038308513,xy,0.234375,0.0,0.0
factorial,1,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,spsa,best_raw_objective,-0.4939831639940917,-0.44245865776877435,0.051524506225317346,xy,0.234375,0.0,0.0
factorial,2,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,spsa,best_raw_objective,-0.5198301787415209,-0.4970543784971369,0.022775800244384026,xy,0.234375,0.0,0.0
factorial,1,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,bayesian_optimization,best_raw_objective,-0.4535050585831682,-0.4556028834639686,-0.002097824880800403,product_x,0.234375,0.0,0.0
factorial,2,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,bayesian_optimization,best_raw_objective,-0.48582651104430147,-0.46774832881131273,0.018078182232988738,xy,0.234375,0.0,0.0
factorial,1,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,classical_markowitz,best_raw_objective,-0.49398316399409165,-0.49398316399409165,0.0,tie,0.234375,0.0,0.0
factorial,2,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,classical_markowitz,best_raw_objective,-0.5198301787415209,-0.5198301787415209,0.0,tie,0.234375,0.0,0.0
factorial,1,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,random,best_raw_objective,-0.44993198119997396,-0.45810514482339093,-0.008173163623416968,product_x,0.234375,0.0,0.0
factorial,2,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,random,best_raw_objective,-0.5005581116808497,-0.484552855518384,0.01600525616246573,xy,0.234375,0.0,0.0
factorial,1,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,spsa,best_raw_objective,-0.4573674368750365,-0.4303376604546425,0.027029776420394003,xy,0.234375,0.0,0.0
factorial,2,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,spsa,best_raw_objective,-0.49904880142965463,-0.48470184208247585,0.014346959347178778,xy,0.234375,0.0,0.0
factorial,1,baseline,12,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,bayesian_optimization,best_raw_objective,-0.5157482649451525,-0.3666994339028538,0.14904883104229866,xy,0.120849609375,0.0,0.0
factorial,2,baseline,12,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,bayesian_optimization,best_raw_objective,-0.37284742003451693,-0.3067160546298794,0.06613136540463754,xy,0.120849609375,0.0,0.0
factorial,1,baseline,12,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,classical_markowitz,best_raw_objective,-0.5491875142968239,-0.5491875142968239,0.0,tie,0.120849609375,0.0,0.0
factorial,2,baseline,12,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,classical_markowitz,best_raw_objective,-0.4281029169578582,-0.4281029169578582,0.0,tie,0.120849609375,0.0,0.0
factorial,1,baseline,12,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,random,best_raw_objective,-0.46480018858650507,-0.31675603012284465,0.14804415846366042,xy,0.120849609375,0.0,0.0
factorial,2,baseline,12,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,random,best_raw_objective,-0.37433667900277234,-0.28200247948919027,0.09233419951358207,xy,0.120849609375,0.0,0.0
factorial,1,baseline,12,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,spsa,best_raw_objective,-0.46183064576610516,-0.39020195993854884,0.07162868582755633,xy,0.120849609375,0.0,0.0
factorial,2,baseline,12,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,spsa,best_raw_objective,-0.38424902217363127,-0.3317230693005619,0.05252595287306938,xy,0.120849609375,0.0,0.0
factorial,1,baseline,12,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,bayesian_optimization,best_raw_objective,-0.3464515019900256,-0.34028030654720115,0.006171195442824462,xy,0.120849609375,0.0,0.0
factorial,2,baseline,12,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,bayesian_optimization,best_raw_objective,-0.30012013798098575,-0.25529940722732525,0.0448207307536605,xy,0.120849609375,0.0,0.0
factorial,1,baseline,12,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,classical_markowitz,best_raw_objective,-0.5491875142968239,-0.5491875142968239,0.0,tie,0.120849609375,0.0,0.0
factorial,2,baseline,12,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,classical_markowitz,best_raw_objective,-0.4281029169578582,-0.4281029169578582,0.0,tie,0.120849609375,0.0,0.0
factorial,1,baseline,12,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,random,best_raw_objective,-0.3921456413620934,-0.39027477108793124,0.001870870274162162,xy,0.120849609375,0.0,0.0
factorial,2,baseline,12,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,random,best_raw_objective,-0.30638419464854516,-0.26593713813948705,0.04044705650905811,xy,0.120849609375,0.0,0.0
factorial,1,baseline,12,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,spsa,best_raw_objective,-0.3471913585568105,-0.37258177839959805,-0.02539041984278756,product_x,0.120849609375,0.0,0.0
factorial,2,baseline,12,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,spsa,best_raw_objective,-0.30201057515761975,-0.23400111552979158,0.06800945962782817,xy,0.120849609375,0.0,0.0
factorial,1,hard_budget,6,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,bayesian_optimization,best_raw_objective,-0.4577629165177444,-0.4560719812974776,0.0016909352202668093,xy,0.234375,0.0,0.0
factorial,2,hard_budget,6,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,bayesian_optimization,best_raw_objective,-0.37973338332748785,-0.37338246158564226,0.006350921741845594,xy,0.234375,0.0,0.0
factorial,1,hard_budget,6,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,classical_markowitz,best_raw_objective,-0.45808483385641985,-0.45808483385641985,0.0,tie,0.234375,0.0,0.0
factorial,2,hard_budget,6,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,classical_markowitz,best_raw_objective,-0.3797794900595858,-0.3797794900595858,0.0,tie,0.234375,0.0,0.0
factorial,1,hard_budget,6,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,random,best_raw_objective,-0.4577629165177444,-0.4560613143906835,0.0017016021270609416,xy,0.234375,0.0,0.0
factorial,2,hard_budget,6,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,random,best_raw_objective,-0.3797794900595858,-0.3744141462213294,0.005365343838256376,xy,0.234375,0.0,0.0
factorial,1,hard_budget,6,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,spsa,best_raw_objective,-0.45759348633949415,-0.45584977171477337,0.0017437146247207824,xy,0.234375,0.0,0.0
factorial,2,hard_budget,6,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,spsa,best_raw_objective,-0.3797794900595858,-0.373300697458148,0.0064787926014377994,xy,0.234375,0.0,0.0
factorial,1,hard_budget,6,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,bayesian_optimization,best_raw_objective,-0.4565774012901697,-0.4547274738268144,0.0018499274633553275,xy,0.234375,0.0,0.0
factorial,2,hard_budget,6,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,bayesian_optimization,best_raw_objective,-0.37757208135718867,-0.3761542077106587,0.0014178736465299546,xy,0.234375,0.0,0.0
factorial,1,hard_budget,6,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,classical_markowitz,best_raw_objective,-0.45808483385641985,-0.45808483385641985,0.0,tie,0.234375,0.0,0.0
factorial,2,hard_budget,6,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,classical_markowitz,best_raw_objective,-0.3797794900595858,-0.3797794900595858,0.0,tie,0.234375,0.0,0.0
factorial,1,hard_budget,6,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,random,best_raw_objective,-0.4557849614644523,-0.4564335106924977,-0.0006485492280454142,product_x,0.234375,0.0,0.0
factorial,2,hard_budget,6,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,random,best_raw_objective,-0.3762694745409035,-0.37387689731785195,0.0023925772230515285,xy,0.234375,0.0,0.0
factorial,1,hard_budget,6,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,spsa,best_raw_objective,-0.45639139819483787,-0.45717685609128533,-0.0007854578964474612,product_x,0.234375,0.0,0.0
factorial,2,hard_budget,6,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,spsa,best_raw_objective,-0.3768560852068857,-0.3755010451778097,0.0013550400290759934,xy,0.234375,0.0,0.0
factorial,1,hard_budget,12,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,bayesian_optimization,best_raw_objective,-0.39287424250855923,-0.38340341470191314,0.009470827806646098,xy,0.120849609375,0.0,0.0
factorial,2,hard_budget,12,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,bayesian_optimization,best_raw_objective,-0.4014551403011654,-0.3943864080283853,0.007068732272780098,xy,0.120849609375,0.0,0.0
factorial,1,hard_budget,12,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,classical_markowitz,best_raw_objective,-0.3999546906074815,-0.3999546906074815,0.0,tie,0.120849609375,0.0,0.0
factorial,2,hard_budget,12,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,classical_markowitz,best_raw_objective,-0.4087480042586734,-0.4087480042586734,0.0,tie,0.120849609375,0.0,0.0
factorial,1,hard_budget,12,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,random,best_raw_objective,-0.3928364914426932,5.4056865032874475,5.798522994730141,xy,0.120849609375,0.0,0.0
factorial,2,hard_budget,12,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,random,best_raw_objective,-0.4013814659089921,-0.38746537201554393,0.013916093893448167,xy,0.120849609375,0.0,0.0
factorial,1,hard_budget,12,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,spsa,best_raw_objective,-0.3918510313394759,-0.38554099146169973,0.006310039877776175,xy,0.120849609375,0.0,0.0
factorial,2,hard_budget,12,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,spsa,best_raw_objective,-0.40259039838811467,-0.3895207212389211,0.013069677149193548,xy,0.120849609375,0.0,0.0
factorial,1,hard_budget,12,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,bayesian_optimization,best_raw_objective,-0.38201772899450176,-0.3795758055296742,0.002441923464827578,xy,0.120849609375,0.0,0.0
factorial,2,hard_budget,12,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,bayesian_optimization,best_raw_objective,-0.39146629052335585,-0.3670151566198199,0.024451133903535927,xy,0.120849609375,0.0,0.0
factorial,1,hard_budget,12,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,classical_markowitz,best_raw_objective,-0.3999546906074815,-0.3999546906074815,0.0,tie,0.120849609375,0.0,0.0
factorial,2,hard_budget,12,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,classical_markowitz,best_raw_objective,-0.4087480042586734,-0.4087480042586734,0.0,tie,0.120849609375,0.0,0.0
factorial,1,hard_budget,12,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,random,best_raw_objective,-0.3848041397659305,-0.3805281305402553,0.00427600922567517,xy,0.120849609375,0.0,0.0
factorial,2,hard_budget,12,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,random,best_raw_objective,-0.38581354154249775,-0.3882522666243532,-0.002438725081855442,product_x,0.120849609375,0.0,0.0
factorial,1,hard_budget,12,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,spsa,best_raw_objective,-0.38123679963386253,-0.3833555668428827,-0.002118767209020156,product_x,0.120849609375,0.0,0.0
factorial,2,hard_budget,12,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,spsa,best_raw_objective,-0.39000596115014274,-0.39165733203388486,-0.0016513708837421204,product_x,0.120849609375,0.0,0.0
