study_name,study_value,method,runs,mean_best_raw_objective,std_best_raw_objective,mean_best_valid_energy,mean_feasible_hit_rate,mean_approx_gap,mean_elapsed_seconds,mean_effective_shots,mean_estimated_billed_seconds,mean_estimated_qpu_cost_usd,win_rate,ci95_best_raw_objective_low,ci95_best_raw_objective_high,ci95_feasible_hit_rate_low,ci95_feasible_hit_rate_high,ci95_win_rate_low,ci95_win_rate_high,p_value_vs_random_best_valid
asset_scale,10,bayesian_optimization,3,-0.29689444956966204,0.04593585513191363,-0.39602618426770997,1.0,0.03280664708201901,0.6193625556649446,3840.0,24.017262845659086,0.0,0.0,-0.3611986223975993,-0.2567496040741047,1.0,1.0,0.0,0.0,1.0
asset_scale,10,classical_markowitz,3,-0.4001631195782033,0.04152469646939994,-0.4001631195782033,1.0,0.0,0.00029209733232467744,0.0,0.0,0.0,1.0,-0.4587084495252784,-0.3669175612818119,1.0,1.0,1.0,1.0,1.0
asset_scale,10,random,3,-0.2886360681400313,0.0506751649332647,-0.4001631195782033,1.0,0.02660024264047283,0.027791916666804656,3840.0,24.015313902661244,0.0,0.0,-0.3600557621181835,-0.24779017251696792,1.0,1.0,0.0,0.0,1.0
asset_scale,10,spsa,3,-0.29639858454397416,0.04754259910194526,-0.4001631195782033,1.0,0.02416502508805041,0.027617499998693045,3840.0,24.015326304994232,0.0,0.0,-0.36302881838357015,-0.25528878687939904,1.0,1.0,0.0,0.0,1.0
asset_scale,12,bayesian_optimization,3,-0.23761614303236242,0.04541780010591351,-0.3781036432102855,1.0,0.053527548744515915,0.5657757776668101,3840.0,24.026964459005587,0.0,0.0,-0.3009194405474122,-0.19654726312752605,1.0,1.0,0.0,0.0,1.0
asset_scale,12,classical_markowitz,3,-0.3781036432102855,0.032899334017654915,-0.3781036432102855,1.0,0.0,0.0005262226695776917,0.0,0.0,0.0,1.0,-0.4239855708580085,-0.348477935209967,1.0,1.0,1.0,1.0,1.0
asset_scale,12,random,3,-0.24915679490438294,0.04716117302430097,-0.3781036432102855,1.0,0.043683330434297216,0.039232208330455855,3840.0,24.025412707339758,0.0,0.0,-0.30656268624239713,-0.1910482869841935,1.0,1.0,0.0,0.0,1.0
asset_scale,12,spsa,3,-0.2307407885599392,0.046677149019042956,-0.3781036432102855,1.0,0.04849822569794101,0.03859645833290415,3840.0,24.025011818341834,0.0,0.0,-0.2963807331497027,-0.19186419868521157,1.0,1.0,0.0,0.0,1.0
asset_scale,6,bayesian_optimization,3,-0.3864026679487753,0.008436206519581399,-0.39942701301295636,1.0,0.0006589294577442555,0.5893410976665715,3840.0,24.009028652995767,0.0,0.0,-0.39406983400064943,-0.37465294355148293,1.0,1.0,0.0,0.0,1.0
asset_scale,6,classical_markowitz,3,-0.39942701301295636,0.01798744972748395,-0.39942701301295636,1.0,0.0,5.854199844179675e-05,0.0,0.0,0.0,1.0,-0.4212955493794352,-0.37723895171632,1.0,1.0,1.0,1.0,1.0
asset_scale,6,random,3,-0.388042789401736,0.020010241753984304,-0.39942701301295636,1.0,0.0005752696046029404,0.011395374667093469,3840.0,24.007771138666914,0.0,0.0,-0.4105467625999821,-0.3619316959889847,1.0,1.0,0.0,0.0,1.0
asset_scale,6,spsa,3,-0.36782602019668903,0.018156765003301746,-0.39942701301295636,1.0,0.0002876348023014702,0.011410763666693432,3840.0,24.007751652672596,0.0,0.0,-0.38280284537970494,-0.34227457342883855,1.0,1.0,0.0,0.0,1.0
asset_scale,8,bayesian_optimization,3,-0.314623447101658,0.09159457202046033,-0.36146509283537304,1.0,0.013842968604617454,0.588816999666354,3840.0,24.011996235327388,0.0,0.0,-0.44399909608527305,-0.24438544036344825,1.0,1.0,0.0,0.0,1.0
asset_scale,8,classical_markowitz,3,-0.36146509283537304,0.10582012012547024,-0.36146509283537304,1.0,0.0,0.00013600033222852895,0.0,0.0,0.0,1.0,-0.5085661952267606,-0.2640860714520589,1.0,1.0,1.0,1.0,1.0
asset_scale,8,random,3,-0.3018460230484064,0.08374913464011853,-0.36146509283537304,1.0,0.010243158524823662,0.019053069336223416,3840.0,24.0107195840028,0.0,0.0,-0.42018150675951743,-0.23838744204460874,1.0,1.0,0.0,0.0,1.0
asset_scale,8,spsa,3,-0.3100982721684069,0.08394913572188387,-0.36146509283537304,1.0,0.002661291644166252,0.018821888666328352,3840.0,24.010480792666687,0.0,0.0,-0.4279952014401689,-0.23904932680266314,1.0,1.0,0.0,0.0,1.0
cvar_alpha,0.05,bayesian_optimization,3,-0.33751870951988416,0.09676384810605712,-0.36146509283537304,1.0,0.005554075253757247,0.5844976806693012,3840.0,24.011756541668245,0.0,0.0,-0.47349260023523443,-0.25618301016658723,1.0,1.0,0.0,0.0,1.0
cvar_alpha,0.05,classical_markowitz,3,-0.36146509283537304,0.10582012012547024,-0.36146509283537304,1.0,0.0,0.00013730533585961288,0.0,0.0,0.0,1.0,-0.5085661952267606,-0.2640860714520589,1.0,1.0,1.0,1.0,1.0
cvar_alpha,0.05,random,3,-0.326546294362363,0.08235019607118296,-0.36146509283537304,1.0,0.010243158524823662,0.019329902999743354,3840.0,24.010914151331235,0.0,0.0,-0.44196350451366645,-0.25536613072391656,1.0,1.0,0.0,0.0,1.0
cvar_alpha,0.05,spsa,3,-0.33208641841490993,0.08814420771564485,-0.36146509283537304,1.0,0.00259123820257857,0.019199374667853892,3840.0,24.0108557489948,0.0,0.0,-0.4551037383584578,-0.25313768171858564,1.0,1.0,0.0,0.0,1.0
cvar_alpha,0.1,bayesian_optimization,3,-0.314623447101658,0.09159457202046033,-0.36146509283537304,1.0,0.013842968604617454,0.5338148193307765,3840.0,24.012113040997065,0.0,0.0,-0.44399909608527305,-0.24438544036344825,1.0,1.0,0.0,0.0,1.0
cvar_alpha,0.1,classical_markowitz,3,-0.36146509283537304,0.10582012012547024,-0.36146509283537304,1.0,0.0,0.00013766666719069084,0.0,0.0,0.0,1.0,-0.5085661952267606,-0.2640860714520589,1.0,1.0,1.0,1.0,1.0
cvar_alpha,0.1,random,3,-0.3018460230484064,0.08374913464011853,-0.36146509283537304,1.0,0.010243158524823662,0.01957120866669963,3840.0,24.011081403004937,0.0,0.0,-0.42018150675951743,-0.23838744204460874,1.0,1.0,0.0,0.0,1.0
cvar_alpha,0.1,spsa,3,-0.3100982721684069,0.08394913572188387,-0.36146509283537304,1.0,0.002661291644166252,0.01927909700316377,3840.0,24.01075677634314,0.0,0.0,-0.4279952014401689,-0.23904932680266314,1.0,1.0,0.0,0.0,1.0
cvar_alpha,0.2,bayesian_optimization,3,-0.2823203421645553,0.0894741841603847,-0.36146509283537304,1.0,0.01035870418313424,0.5605681249993116,3840.0,24.011931026664872,0.0,0.0,-0.40873583148029163,-0.21433897283073491,1.0,1.0,0.0,0.0,1.0
